method,uri,status,bytes_sent,request_time,rule_count,severity_score,user_agent_len,uri_len,has_sqli_pattern,has_xss_pattern,has_suspicious_path,label
GET,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=<sc>&count=30&offset=0&_=1776407974860,200,0,0.0,0,0,0,101,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=>&count=30&offset=0&_=1776407974861,200,0,0.0,0,0,0,98,0,0,0,0
GET,/TEST/workflow/access/2,302,0,0.0,0,0,0,23,0,0,0,0
GET,/TEST/workflow/index/2/1,200,0,0.0,0,0,0,24,0,0,0,0
POST,/TEST/notification/fetchNotification,200,0,0.0,0,0,0,36,0,0,0,0
GET,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776407986869,200,0,0.0,0,0,0,98,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776407986870,200,0,0.0,0,0,0,93,0,0,0,0
GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986873,200,0,0.0,0,0,0,127,0,0,0,0
GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776407986871,200,0,0.0,0,0,0,98,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986872,200,0,0.0,0,0,0,120,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986874,200,0,0.0,0,0,0,94,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776407986875,200,0,0.0,0,0,0,104,0,0,0,0
GET,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776407986876,200,0,0.0,0,0,0,115,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=3&_=1776407986877,200,0,0.0,0,0,0,93,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=4&_=1776407986878,200,0,0.0,0,0,0,93,0,0,0,0
POST,/TEST/notification/fetchNotification,200,0,0.0,0,0,0,36,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986880,200,0,0.0,0,0,0,120,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986882,200,0,0.0,0,0,0,94,0,0,0,0
GET,/TEST/$$$call$$$/grid/files/copyedit/copyedit-files-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986883,200,0,0.0,0,0,0,108,0,0,0,0
GET,/TEST/$$$call$$$/grid/files/final/final-draft-files-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986881,200,0,0.0,0,0,0,108,0,0,0,0
GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=4&_=1776407986879,200,0,0.0,0,0,0,77,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=3&_=1776407986884,200,0,0.0,0,0,0,93,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776407986885,200,0,0.0,0,0,0,93,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986887,200,0,0.0,0,0,0,120,0,0,0,0
GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986888,200,0,0.0,0,0,0,127,0,0,0,0
