ip,method,uri_full,uri_norm,timestamp,status,label,attack_tags,anomaly_score
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/participants?queryId=2&submissionId=2&stageId=1&_=1776396346566,/TEST/$$$call$$$/grid/queries/queries-grid/participants?queryId=2&submissionId=2&stageId=1&_=1776396346566,1776396353,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/query-notes-grid/fetch-grid?queryId=2&submissionId=2&stageId=1&_=1776396346567,/TEST/$$$call$$$/grid/queries/query-notes-grid/fetch-grid?queryId=2&submissionId=2&stageId=1&_=1776396346567,1776396353,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/page/page/tasks?_=1776396346568,/TEST/$$$call$$$/page/page/tasks?_=1776396346568,1776396358,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/notifications/task-notifications-grid/fetch-grid?_=1776396346569,/TEST/$$$call$$$/grid/notifications/task-notifications-grid/fetch-grid?_=1776396346569,1776396358,200,normal,,
10.34.239.41,GET,/TEST/workflow/index/2/a,/TEST/workflow/index/2/a,1776396359,302,normal,,
10.34.239.41,GET,/TEST/user/authorizationDenied?message=user.authorization.workflowStageRequired,/TEST/user/authorizationDenied?message=user.authorization.workflowStageRequired,1776396359,200,normal,,
10.34.239.41,GET,/TEST/workflow/index/2/1,/TEST/workflow/index/2/1,1776398177,200,normal,,
10.34.239.41,POST,/TEST/notification/fetchNotification,/TEST/notification/fetchNotification,1776398177,200,normal,,
10.34.239.41,GET,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776398177635,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776398177635,1776398177,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776398177636,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776398177636,1776398178,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177639,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177639,1776398178,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177638,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177638,1776398178,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177640,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177640,1776398178,200,normal,,
10.34.239.41,GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776398177637,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776398177637,1776398178,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776398177642,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776398177642,1776398178,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776398177641,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776398177641,1776398178,200,normal,,
10.34.239.41,GET,/TEST/submissions,/TEST/submissions,1776398535,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776398536018,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776398536018,1776398536,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776398536019,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776398536019,1776398536,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status%5B%5D=4&status%5B%5D=3&status%5B%5D=5&searchPhrase=&count=30&offset=0&_=1776398536020,/TEST/api/v1/_submissions?status[]=4&status[]=3&status[]=5&searchPhrase=&count=30&offset=0&_=1776398536020,1776398536,200,normal,,
10.34.239.41,GET,/TEST/login/signOut,/TEST/login/signOut,1776398564,302,normal,,
10.34.239.41,GET,/TEST/login,/TEST/login,1776398564,200,normal,,
10.34.239.41,POST,/TEST/login/signIn,/TEST/login/signIn,1776398570,200,malicious,attack-generic|attack-sqli|attack-protocol,8
10.34.239.41,POST,/TEST/login/signIn,/TEST/login/signIn,1776398598,200,malicious,attack-generic|attack-sqli|attack-protocol,8
10.34.239.41,POST,/TEST/login/signIn,/TEST/login/signIn,1776407974,302,normal,,
10.34.239.41,GET,/TEST/submissions,/TEST/submissions,1776407974,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776407974855,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776407974855,1776407975,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status%5B%5D=4&status%5B%5D=3&status%5B%5D=5&searchPhrase=&count=30&offset=0&_=1776407974857,/TEST/api/v1/_submissions?status[]=4&status[]=3&status[]=5&searchPhrase=&count=30&offset=0&_=1776407974857,1776407975,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776407974856,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776407974856,1776407975,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo%5B%5D=1&searchPhrase=%3C%3E&count=30&offset=0&_=1776407974858,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=<>&count=30&offset=0&_=1776407974858,1776407979,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo%5B%5D=1&searchPhrase=%3Cscii%3E&count=30&offset=0&_=1776407974859,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=<scii>&count=30&offset=0&_=1776407974859,1776407981,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo%5B%5D=1&searchPhrase=%3Csc%3E&count=30&offset=0&_=1776407974860,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=<sc>&count=30&offset=0&_=1776407974860,1776407982,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo%5B%5D=1&searchPhrase=%3E&count=30&offset=0&_=1776407974861,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=>&count=30&offset=0&_=1776407974861,1776407982,200,normal,,
10.34.239.41,GET,/TEST/workflow/access/2,/TEST/workflow/access/2,1776407986,302,normal,,
10.34.239.41,GET,/TEST/workflow/index/2/1,/TEST/workflow/index/2/1,1776407986,200,normal,,
10.34.239.41,POST,/TEST/notification/fetchNotification,/TEST/notification/fetchNotification,1776407987,200,normal,,
10.34.239.41,GET,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776407986869,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776407986869,1776407987,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776407986870,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776407986870,1776407987,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986873,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986873,1776407987,200,normal,,
10.34.239.41,GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776407986871,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776407986871,1776407987,200,normal,,
